,cost_per_kg,Platform
0,4500.0,Angaras
1,13600.0,Antares
2,18300.0,Ariane 44
3,10200.0,Ariane 5G
4,19200.0,Athena 1
5,29500.0,Atlas Centaur
6,18700.0,Atlas II
7,16000.0,Atlas III
8,8100.0,Atlas V
9,21400.0,Delta 3000
10,32800.0,Delta 3910
11,177900.0,Delta E
12,38800.0,Delta II
13,18000.0,Delta III
14,10400.0,Delta IV
15,11600.0,Delta IV Heavy
16,9600.0,
17,23100.0,Electron
18,34500.0,Epsilon
19,12600.0,Falcon 1
20,2600.0,SpaceX Falcon 9
21,1500.0,SpaceX Falcon Heavy
22,10000.0,GSLV
23,10500.0,H-II
24,14900.0,Kosmos
25,10600.0,Kuaizhou
26,8000.0,LVM3
27,10600.0,Long March 11
28,17500.0,Long March 2A
29,8700.0,Long March 2A
30,8300.0,Long March 2C
31,9100.0,Long Marche 2D
32,9900.0,Long Marche 2E
33,6200.0,Long March 3B
34,7600.0,Long March 4B
35,7900.0,Long March 5
36,45800.0,M-V
37,73100.0,Minotaur I
38,30500.0,Minotaur IV
39,8500.0,PSLV
40,41100.0,Pegasus
41,50600.0,Pegasus XL
42,8200.0,Proton
43,8400.0,R-36 / Cyclone
44,20600.0,Rokot
45,5400.0,Saturn V
46,118500.0,Scout
47,31100.0,Shavit
48,17300.0,Shian Quxian
49,19100.0,SHTIL
50,17900.0,Soyuz
51,65400.0,Space Shuttle
52,23600.0,Start
53,11200.0,Strela
54,34600.0,Taurus
55,30600.0,Titan II
56,21000.0,Titan III+
57,30800.0,Titan IV
58,20000.0,Vega
59,5100.0,Zenit 2
60,8900.0,Zenit 3SL
61,,SpaceX
